iter	Passed	Remaining
670	2928	1435
671	2930	1430
672	2934	1425
673	2937	1421
674	2940	1415
675	2942	1410
676	2944	1404
677	2945	1399
678	2949	1394
679	2951	1389
680	2953	1383
681	2955	1378
682	2957	1372
683	2959	1367
684	2963	1362
685	2966	1357
686	2968	1352
687	2970	1347
688	2972	1341
689	2977	1337
690	2980	1332
691	2982	1327
692	2984	1322
693	2986	1316
694	2988	1311
695	2992	1307
696	2995	1302
697	2998	1297
698	3000	1292
699	3003	1287
700	3007	1282
701	3009	1277
702	3012	1272
703	3013	1267
704	3015	1261
705	3021	1258
706	3024	1253
707	3026	1248
708	3028	1242
709	3030	1237
710	3036	1234
711	3038	1229
712	3041	1224
713	3042	1218
714	3044	1213
715	3047	1208
716	3050	1204
717	3052	1198
718	3054	1193
719	3056	1188
720	3058	1183
721	3063	1179
722	3065	1174
723	3067	1169
724	3069	1164
725	3071	1159
726	3075	1154
727	3079	1150
728	3082	1145
729	3092	1143
730	3094	1138
731	3096	1133
732	3098	1128
733	3101	1123
734	3105	1119
735	3108	1114
736	3110	1109
737	3112	1104
738	3114	1099
739	3116	1094
740	3119	1090
741	3122	1085
742	3124	1080
743	3126	1075
744	3128	1070
745	3134	1067
746	3137	1062
747	3139	1057
748	3145	1054
749	3149	1049
750	3151	1044
751	3153	1039
752	3155	1035
753	3157	1030
754	3159	1025
755	3164	1021
756	3166	1016
757	3169	1011
758	3171	1007
759	3173	1002
760	3178	998
761	3181	993
762	3184	989
763	3187	984
764	3192	980
765	3195	976
766	3197	971
767	3200	966
768	3201	961
769	3206	957
770	3208	953
771	3210	948
772	3212	943
773	3214	938
774	3216	933
775	3220	929
776	3224	925
777	3226	920
778	3228	915
779	3230	911
780	3232	906
781	3236	902
782	3238	897
783	3240	892
784	3242	888
785	3244	883
786	3246	878
787	3250	874
788	3253	869
789	3255	865
790	3257	860
791	3258	855
792	3260	851
793	3266	847
794	3268	842
795	3270	838
796	3272	833
797	3274	828
798	3277	824
799	3280	820
800	3282	815
801	3285	811
802	3287	806
803	3289	802
804	3293	797
805	3296	793
806	3298	788
807	3299	784
808	3302	779
809	3305	775
810	3307	770
811	3310	766
812	3313	762
813	3315	757
814	3318	753
815	3321	749
816	3324	744
817	3326	740
818	3328	735
819	3333	731
820	3337	727
821	3339	723
822	3342	718
823	3344	714
824	3350	710
825	3352	706
826	3355	701
827	3357	697
828	3364	694
829	3367	689
830	3371	685
831	3374	681
832	3380	677
833	3382	673
834	3385	668
835	3387	664
836	3393	660
837	3396	656
838	3398	652
839	3401	647
840	3403	643
841	3408	639
842	3412	635
843	3414	631
844	3417	626
845	3423	623
846	3428	619
847	3433	615
848	3441	612
849	3444	607
850	3447	603
851	3453	599
852	3457	595
853	3460	591
854	3462	587
855	3471	583
856	3474	579
857	3479	575
858	3489	572
859	3492	568
860	3495	564
861	3501	560
862	3505	556
863	3508	552
864	3516	548
865	3519	544
866	3522	540
867	3529	536
868	3533	532
869	3535	528
870	3538	524
871	3547	520
872	3550	516
873	3552	512
874	3555	507
875	3558	503
876	3565	500
877	3571	496
878	3583	493
879	3586	489
880	3588	484
881	3594	480
882	3599	476
883	3602	472
884	3605	468
885	3610	464
886	3612	460
887	3615	456
888	3617	451
889	3620	447
890	3626	443
891	3628	439
892	3631	435
893	3633	430
894	3639	426
895	3644	422
896	3646	418
897	3649	414
898	3655	410
899	3658	406
900	3660	402
901	3663	397
902	3665	393
903	3670	389
904	3673	385
905	3674	381
906	3677	377
907	3679	372
908	3683	368
909	3686	364
910	3688	360
911	3690	356
912	3692	351
913	3694	347
914	3698	343
915	3701	339
916	3703	335
917	3705	330
918	3707	326
919	3708	322
920	3713	318
921	3715	314
922	3718	310
923	3720	306
924	3722	301
925	3724	297
926	3727	293
927	3729	289
928	3731	285
929	3733	281
930	3735	276
931	3738	272
932	3742	268
933	3744	264
934	3746	260
935	3749	256
936	3753	252
937	3757	248
938	3759	244
939	3761	240
940	3763	235
941	3765	231
942	3769	227
943	3772	223
944	3774	219
945	3775	215
946	3777	211
947	3779	207
948	3783	203
949	3785	199
950	3788	195
951	3790	191
952	3792	187
953	3794	182
954	3800	179
955	3802	175
956	3805	170
957	3807	166
958	3812	162
959	3814	158
960	3816	154
961	3818	150
962	3820	146
963	3822	142
964	3827	138
965	3829	134
966	3831	130
967	3834	126
968	3836	122
969	3841	118
970	3844	114
971	3846	110
972	3848	106
973	3850	102
974	3854	98
975	3857	94
976	3859	90
977	3861	86
978	3863	82
979	3865	78
980	3870	74
981	3872	70
982	3874	67
983	3876	63
984	3879	59
985	3882	55
986	3884	51
987	3887	47
988	3889	43
989	3892	39
990	3894	35
991	3898	31
992	3900	27
993	3903	23
994	3905	19
995	3907	15
996	3913	11
997	3915	7
998	3917	3
999	3920	0
