iter	Passed	Remaining
401	1124	1673
402	1127	1670
403	1129	1666
404	1131	1662
405	1133	1658
406	1135	1654
407	1136	1649
408	1138	1645
409	1141	1642
410	1143	1638
411	1145	1634
412	1147	1630
413	1149	1626
414	1151	1622
415	1153	1618
416	1155	1615
417	1157	1611
418	1159	1608
419	1161	1603
420	1163	1599
421	1165	1596
422	1167	1592
423	1169	1588
424	1171	1584
425	1173	1580
426	1174	1576
427	1176	1572
428	1178	1568
429	1180	1565
430	1183	1561
431	1185	1559
432	1188	1555
433	1190	1552
434	1192	1548
435	1194	1544
436	1196	1540
437	1197	1537
438	1199	1533
439	1201	1529
440	1203	1525
441	1205	1521
442	1207	1517
443	1209	1514
444	1211	1510
445	1213	1506
446	1215	1503
447	1216	1499
448	1218	1495
449	1220	1491
450	1222	1488
451	1225	1485
452	1227	1481
453	1228	1478
454	1230	1474
455	1232	1470
456	1234	1467
457	1236	1463
458	1239	1460
459	1241	1456
460	1242	1453
461	1244	1449
462	1246	1446
463	1248	1442
464	1250	1438
465	1253	1436
466	1254	1432
467	1256	1428
468	1258	1425
469	1260	1421
470	1262	1418
471	1264	1414
472	1266	1411
473	1268	1407
474	1270	1403
475	1271	1400
476	1273	1396
477	1275	1393
478	1277	1389
479	1280	1386
480	1282	1383
481	1284	1380
482	1286	1376
483	1288	1373
484	1290	1370
485	1292	1366
486	1294	1363
487	1296	1359
488	1298	1356
489	1300	1353
490	1302	1349
491	1304	1346
492	1305	1343
493	1307	1339
494	1309	1336
495	1311	1332
496	1313	1329
497	1315	1326
498	1317	1322
499	1319	1319
500	1322	1317
501	1325	1314
502	1327	1311
503	1329	1308
504	1331	1305
505	1333	1302
506	1335	1299
507	1337	1295
508	1339	1292
509	1341	1289
510	1343	1285
511	1345	1282
512	1347	1279
513	1350	1276
514	1351	1273
515	1354	1270
516	1356	1266
517	1358	1263
518	1360	1260
519	1362	1257
520	1364	1254
521	1366	1251
522	1368	1248
523	1370	1244
524	1372	1241
525	1374	1238
526	1376	1235
527	1378	1232
528	1380	1228
529	1382	1225
530	1383	1222
531	1385	1219
532	1387	1215
533	1389	1212
534	1392	1210
535	1395	1207
536	1397	1204
537	1399	1201
538	1403	1200
539	1408	1199
540	1414	1200
541	1424	1203
542	1429	1203
543	1431	1200
544	1436	1199
545	1439	1197
546	1442	1194
547	1444	1191
548	1446	1188
549	1452	1188
550	1456	1186
551	1458	1183
552	1461	1181
553	1464	1178
554	1469	1178
555	1472	1175
556	1475	1173
557	1477	1170
558	1481	1168
559	1484	1166
560	1487	1163
561	1489	1161
562	1494	1159
563	1496	1156
564	1498	1154
565	1501	1151
566	1503	1148
567	1506	1146
568	1510	1144
569	1512	1141
570	1515	1138
571	1518	1135
572	1523	1135
573	1525	1132
574	1528	1129
575	1530	1126
576	1532	1123
577	1535	1121
578	1538	1118
579	1540	1115
580	1543	1113
581	1545	1110
582	1549	1108
583	1553	1106
584	1556	1104
585	1558	1101
586	1560	1098
587	1565	1096
588	1568	1094
589	1571	1092
590	1573	1089
591	1576	1086
592	1583	1086
593	1586	1084
594	1588	1081
595	1590	1078
596	1597	1078
597	1601	1076
598	1604	1073
599	1611	1074
600	1617	1073
601	1621	1071
602	1631	1074
603	1647	1080
604	1668	1089
605	1671	1086
606	1679	1087
607	1692	1091
608	1696	1088
609	1709	1092
610	1719	1094
611	1722	1092
612	1738	1097
613	1752	1102
614	1858	1163
615	1866	1163
616	1875	1164
617	1885	1165
618	1890	1163
619	1902	1165
620	1913	1168
621	1916	1164
622	1927	1166
623	1933	1164
624	1942	1165
625	1945	1162
626	1948	1159
627	1951	1156
628	1957	1154
629	1960	1151
630	1963	1148
631	1966	1144
632	1973	1143
633	1975	1140
634	1978	1137
635	1981	1134
636	1986	1132
637	1989	1128
638	1991	1125
639	1994	1122
640	2002	1121
641	2004	1117
642	2006	1113
643	2008	1110
644	2010	1106
645	2012	1102
646	2016	1100
647	2018	1096
648	2020	1092
649	2022	1088
650	2024	1085
651	2026	1081
652	2030	1079
653	2032	1075
654	2034	1071
655	2036	1068
656	2038	1064
657	2040	1060
658	2045	1058
659	2047	1054
660	2049	1050
661	2051	1047
662	2053	1043
663	2055	1040
664	2060	1037
665	2062	1034
666	2064	1030
667	2065	1026
668	2067	1023
669	2070	1019
670	2074	1017
671	2076	1013
672	2078	1009
673	2080	1006
674	2082	1002
675	2084	999
676	2088	996
677	2090	992
678	2092	989
679	2094	985
680	2096	982
681	2098	978
682	2100	974
683	2103	972
684	2105	968
685	2107	964
686	2109	961
687	2111	957
688	2113	954
689	2118	951
690	2120	948
691	2122	944
692	2124	940
693	2126	937
694	2128	933
695	2132	931
696	2134	927
697	2136	924
698	2138	921
699	2140	917
700	2142	913
701	2147	911
702	2149	907
703	2151	904
704	2153	900
705	2154	897
706	2156	893
707	2159	890
708	2161	887
709	2163	883
710	2165	880
711	2168	876
712	2170	873
713	2172	870
714	2176	867
715	2178	864
716	2180	860
717	2182	857
718	2184	853
719	2186	850
720	2190	847
721	2192	844
722	2194	840
723	2196	837
724	2198	833
725	2200	830
726	2204	827
727	2207	824
728	2209	821
729	2212	818
730	2213	814
731	2215	811
732	2220	808
733	2223	805
734	2225	802
735	2228	799
736	2231	796
737	2233	793
738	2235	789
739	2237	786
740	2239	782
741	2241	779
742	2243	775
743	2246	773
744	2248	769
745	2250	766
746	2252	762
747	2254	759
748	2256	756
749	2262	754
750	2265	750
751	2267	747
752	2269	744
753	2271	740
754	2275	738
755	2278	735
756	2280	731
757	2282	728
758	2284	725
759	2290	723
760	2292	720
761	2295	716
762	2297	713
763	2299	710
764	2304	707
765	2307	704
766	2309	701
767	2312	698
768	2317	696
769	2320	693
770	2322	689
771	2324	686
772	2326	683
773	2329	680
774	2333	677
775	2335	674
776	2337	670
777	2339	667
778	2341	664
779	2347	662
780	2350	659
781	2352	655
782	2354	652
783	2356	649
784	2358	645
785	2363	643
786	2364	640
787	2366	636
788	2369	633
789	2370	630
790	2372	626
791	2377	624
792	2379	621
793	2381	617
794	2384	614
795	2387	611
796	2393	609
797	2396	606
798	2398	603
799	2400	600
800	2402	596
801	2407	594
802	2409	591
803	2411	587
804	2413	584
805	2415	581
806	2417	578
807	2421	575
808	2424	572
809	2426	569
810	2428	565
811	2430	562
812	2431	559
813	2436	556
814	2439	553
815	2441	550
816	2442	547
817	2444	543
818	2446	540
819	2451	538
820	2453	534
821	2457	532
822	2460	529
823	2462	526
824	2466	523
825	2469	520
826	2474	517
827	2480	515
828	2483	512
829	2487	509
830	2493	507
831	2498	504
832	2501	501
833	2504	498
834	2510	496
835	2513	493
836	2517	490
837	2524	488
838	2529	485
839	2532	482
840	2543	480
841	2549	478
842	2552	475
843	2556	472
844	2561	469
845	2566	467
846	2570	464
847	2578	462
848	2581	459
849	2584	456
850	2594	454
851	2600	451
852	2609	449
853	2614	446
854	2621	444
855	2630	442
856	2634	439
857	2639	436
858	2641	433
859	2644	430
860	2647	427
861	2650	424
862	2652	421
863	2655	418
864	2659	415
865	2662	411
866	2665	408
867	2667	405
868	2670	402
869	2674	399
870	2678	396
871	2682	393
872	2685	390
873	2688	387
874	2691	384
875	2695	381
876	2698	378
877	2704	375
878	2708	372
879	2710	369
880	2714	366
881	2717	363
882	2720	360
883	2724	357
884	2728	354
885	2732	351
886	2735	348
887	2740	345
888	2744	342
889	2748	339
890	2751	336
891	2754	333
892	2757	330
893	2760	327
894	2763	324
895	2766	321
896	2769	318
897	2783	316
898	2786	313
899	2789	309
900	2792	306
901	2795	303
902	2798	300
903	2802	297
904	2804	294
905	2808	291
906	2811	288
907	2814	285
908	2817	282
909	2828	279
910	2832	276
911	2836	273
912	2839	270
913	2843	267
914	2847	264
915	2863	262
916	2866	259
917	2869	256
918	2872	253
919	2874	249
920	2877	246
921	2881	243
922	2889	241
923	2892	237
924	2902	235
925	2928	233
926	2931	230
927	2934	227
928	2937	224
929	2940	221
930	2943	218
931	2946	215
932	2953	212
933	2957	208
934	2959	205
935	2963	202
936	2966	199
937	2972	196
938	2977	193
939	2980	190
940	2986	187
941	2993	184
942	2996	181
943	3004	178
944	3014	175
945	3018	172
946	3022	169
947	3025	165
948	3029	162
949	3032	159
950	3034	156
951	3037	153
952	3039	149
953	3042	146
954	3044	143
955	3045	140
956	3047	136
957	3049	133
958	3051	130
959	3054	127
960	3056	124
961	3059	120
962	3062	117
963	3064	114
964	3066	111
965	3068	108
966	3071	104
967	3073	101
968	3075	98
969	3078	95
970	3080	91
971	3082	88
972	3085	85
973	3089	82
974	3091	79
975	3093	76
976	3095	72
977	3098	69
978	3101	66
979	3104	63
980	3106	60
981	3108	56
982	3111	53
983	3113	50
984	3115	47
985	3117	44
986	3119	41
987	3121	37
988	3124	34
989	3126	31
990	3130	28
991	3133	25
992	3136	22
993	3139	18
994	3141	15
995	3145	12
996	3147	9
997	3149	6
998	3151	3
999	3153	0
